county,county_fips,year,mine_count,coal_output_total,mine_employment
Webster County,54101,2010,5,4022561.0,379.6666666666667
Webster County,54101,2011,5,3444115.0,341.5
Webster County,54101,2012,6,2581420.0,310.5833333333333
Webster County,54101,2013,4,2310144.0,247.0
Webster County,54101,2014,5,2062339.0,230.5
Webster County,54101,2015,5,1596491.0,249.25
Webster County,54101,2016,3,294068.0,63.25
Webster County,54101,2018,1,430263.0,41.25
Webster County,54101,2019,2,473575.0,68.75
Webster County,54101,2020,2,142352.0,27.666666666666668
Webster County,54101,2021,1,121674.0,31.0
Webster County,54101,2022,1,196494.0,36.25
Webster County,54101,2023,1,132227.0,34.75
Wetzel County,54103,2000,1,5993666.0,367.5
Wetzel County,54103,2001,1,4910055.0,439.25
Wetzel County,54103,2002,1,4995507.0,409.25
Wetzel County,54103,2003,1,5738542.0,407.75
Wetzel County,54103,2004,1,6245830.0,432.0
Wetzel County,54103,2005,1,6148474.0,468.5
Wetzel County,54103,2006,1,5740172.0,474.25
Wetzel County,54103,2007,1,6502004.0,463.25
Wetzel County,54103,2008,1,5627306.0,428.5
Wetzel County,54103,2009,1,5544554.0,468.25
Wetzel County,54103,2010,1,5499559.0,459.0
Wetzel County,54103,2011,1,5958158.0,531.25
Wetzel County,54103,2012,1,4992046.0,535.5
Wetzel County,54103,2013,1,5700956.0,500.0
Wetzel County,54103,2014,1,6703392.0,481.25
Wetzel County,54103,2015,1,7106441.0,446.5
Wetzel County,54103,2016,1,6586715.0,314.0
Wetzel County,54103,2017,1,7131341.0,361.5
Wetzel County,54103,2018,1,7215143.0,359.0
Wetzel County,54103,2019,1,6808868.0,364.75
Wetzel County,54103,2020,1,4880471.0,306.0
Wetzel County,54103,2021,1,6149291.0,309.5
Wetzel County,54103,2022,1,7039318.0,319.5
Wetzel County,54103,2023,1,7049832.0,333.5
Wetzel County,54103,2024,1,5579207.0,327.0
Wyoming County,54109,2000,19,8091589.0,910.25
Wyoming County,54109,2001,20,6917896.0,881.9166666666666
Wyoming County,54109,2002,20,7587627.0,957.25
Wyoming County,54109,2003,16,5189964.0,630.3333333333334
Wyoming County,54109,2004,20,5025227.0,628.5833333333334
Wyoming County,54109,2005,21,7085412.0,852.0833333333334
Wyoming County,54109,2006,19,6535614.0,814.25
Wyoming County,54109,2007,17,5527755.0,812.0833333333334
Wyoming County,54109,2008,20,5684826.0,1051.0
Wyoming County,54109,2009,17,3492814.0,862.25
Wyoming County,54109,2010,15,4623976.0,1061.5
Wyoming County,54109,2011,20,4964791.0,1157.25
Wyoming County,54109,2012,20,5498021.0,1160.0
Wyoming County,54109,2013,16,6289188.0,1230.75
Wyoming County,54109,2014,10,4807029.0,988.25
Wyoming County,54109,2015,7,4548697.0,892.0
Wyoming County,54109,2016,8,3602308.0,777.3333333333333
Wyoming County,54109,2017,10,4637028.0,898.0
Wyoming County,54109,2018,11,5213918.0,849.75
Wyoming County,54109,2019,10,4757592.0,655.9166666666667
Wyoming County,54109,2020,14,3628217.0,664.8333333333334
Wyoming County,54109,2021,13,4912900.0,747.25
Wyoming County,54109,2022,19,6079421.0,935.9166666666667
Wyoming County,54109,2023,21,6767602.0,1071.75
Wyoming County,54109,2024,23,6672098.0,1213.25
